Date of event,Light vs Heavy Weapons
2008-05-13,Heavy
2008-05-09,Heavy
2008-05-08,Heavy
2008-05-07,Heavy
2008-05-06,Heavy
2008-05-01,Heavy
2008-04-30,Heavy
2008-04-28,Heavy
2008-04-24,Heavy
2008-04-21,Heavy
2008-04-20,Heavy
2008-04-19,Heavy
2008-04-16,Heavy
2008-04-15,Heavy
2008-04-14,Heavy
2008-04-11,Heavy
2008-04-09,Heavy
2008-03-29,Heavy
2008-03-18,Heavy
2008-03-15,Heavy
2008-03-06,Heavy
2008-03-04,Heavy
2008-03-03,Heavy
2008-03-02,Heavy
2008-03-01,Heavy
2008-02-29,Heavy
2008-02-28,Heavy
2008-02-27,Heavy
2008-02-26,Heavy
2008-02-25,Heavy
2008-02-23,Heavy
2008-02-22,Heavy
2008-02-17,Heavy
2008-02-09,Heavy
2008-02-07,Heavy
2008-02-06,Heavy
2008-02-05,Heavy
2008-02-04,Heavy
2008-01-25,Heavy
2008-01-22,Heavy
2008-01-20,Heavy
2008-01-19,Heavy
2008-01-18,Heavy
2008-01-17,Heavy
2008-01-16,Heavy
2008-01-15,Heavy
2008-01-13,Heavy
2008-01-12,Heavy
2008-01-09,Heavy
2008-01-06,Heavy
2008-01-05,Heavy
2008-01-04,Light
2008-01-03,Heavy
2008-01-02,Heavy
2008-01-01,Heavy
2007-12-27,Heavy
2007-12-24,Heavy
2007-12-20,Heavy
2007-12-18,Heavy
2007-12-17,Heavy
2007-12-13,Heavy
2007-12-11,Heavy
2007-12-05,Heavy
2007-12-04,Heavy
2007-12-01,Heavy
2007-11-29,Heavy
2007-11-28,Heavy
2007-11-26,Heavy
2007-11-23,Heavy
2007-11-15,Heavy
2007-11-14,Heavy
2007-11-04,Heavy
2007-11-03,Heavy
2007-10-30,Heavy
2007-10-29,Heavy
2007-10-26,Heavy
2007-10-24,Heavy
2007-10-23,Heavy
2007-10-20,Heavy
2007-10-13,Heavy
2007-10-02,Heavy
2007-09-27,Heavy
2007-09-26,Heavy
2007-09-06,Heavy
2007-08-29,Heavy
2007-08-22,Heavy
2007-08-21,Heavy
2007-08-20,Heavy
2007-08-04,Heavy
2007-07-26,Heavy
2007-07-22,Heavy
2007-07-05,Heavy
2007-06-30,Heavy
2007-06-27,Heavy
2007-06-24,Heavy
2007-06-06,Heavy
2007-06-01,Heavy
2007-05-30,Heavy
2007-05-26,Heavy
2007-05-25,Heavy
2007-05-21,Heavy
2007-05-20,Heavy
2007-05-19,Heavy
2007-05-18,Heavy
2007-05-17,Heavy
2007-05-16,Heavy
2007-04-22,Heavy
2007-04-07,Heavy
2007-03-28,Heavy
2007-01-16,Light
2007-01-04,Light
2006-11-25,Heavy
2006-11-23,Heavy
2006-11-22,Heavy
2006-11-20,Heavy
2006-11-19,Heavy
2006-11-12,Heavy
2006-11-08,Heavy
2006-11-07,Heavy
2006-11-06,Heavy
2006-11-05,Heavy
2006-11-04,Heavy
2006-11-03,Heavy
2006-11-02,Heavy
2006-11-01,Heavy
2006-10-14,Heavy
2006-10-13,Heavy
2006-10-12,Heavy
2006-10-09,Heavy
2006-10-04,Heavy
2006-10-03,Heavy
2006-09-30,Heavy
2006-09-29,Heavy
2006-09-21,Heavy
2006-09-20,Heavy
2006-09-10,Heavy
2006-09-06,Heavy
2006-09-05,Heavy
2006-09-02,Heavy
2006-08-30,Heavy
2006-08-29,Heavy
2006-08-28,Heavy
2006-08-27,Heavy
2006-08-26,Heavy
2006-08-19,Heavy
2006-08-16,Heavy
2006-08-14,Heavy
2006-08-09,Heavy
2006-08-06,Heavy
2006-08-05,Heavy
2006-08-04,Heavy
2006-08-03,Heavy
2006-08-01,Heavy
2006-07-31,Heavy
2006-07-28,Heavy
2006-07-27,Heavy
2006-07-26,Heavy
2006-07-24,Heavy
2006-07-21,Light+Heavy
2006-07-20,Heavy
2006-07-19,Light+Heavy
2006-07-18,Heavy
2006-07-16,Heavy
2006-07-15,Heavy
2006-07-14,Heavy
2006-07-13,Heavy
2006-07-12,Heavy
2006-07-11,Heavy
2006-07-10,Heavy
2006-07-09,Heavy
2006-07-08,Heavy
2006-07-07,Heavy
2006-07-06,Heavy
2006-07-05,Heavy
2006-07-03,Heavy
2006-07-02,Heavy
2006-06-30,Heavy
2006-06-21,Heavy
2006-06-20,Heavy
2006-06-16,Heavy
2006-06-15,Heavy
2006-06-13,Heavy
2006-06-11,Heavy
2006-06-09,Heavy
2006-06-08,Heavy
2006-06-07,Heavy
2006-06-05,Heavy
2006-05-30,Heavy
2006-05-26,Heavy
2006-05-20,Heavy
2006-05-07,Heavy
2006-05-06,Heavy
2006-05-05,Heavy
2006-04-27,Heavy
2006-04-17,Heavy
2006-04-10,Heavy
2006-04-09,Heavy
2006-04-08,Heavy
2006-04-07,Heavy
2006-04-06,Light
2006-03-27,Heavy
2006-03-23,Heavy
2006-03-06,Heavy
2006-02-24,Heavy
2006-02-19,Heavy
2006-02-09,Heavy
2006-02-07,Heavy
2006-02-06,Heavy
2006-02-05,Heavy
2006-01-02,Heavy
2005-12-31,Heavy
2005-12-14,Heavy
2005-12-08,Heavy
2005-12-07,Heavy
2005-11-01,Heavy
2005-10-29,Heavy
2005-10-27,Heavy
2005-09-30,Light
2005-09-25,Heavy
2005-09-23,Heavy
2005-09-13,Light
2005-07-15,Heavy
2005-05-18,Heavy
2005-05-04,Light
2005-04-25,Light
2005-01-17,Heavy
2005-01-15,Heavy
2005-01-13,Heavy
2005-01-05,Heavy
2005-01-04,Heavy
2005-01-03,Heavy
2004-12-31,Heavy
2004-12-30,Heavy
2004-12-27,Heavy
2004-12-26,Heavy
2004-12-23,Heavy
2004-12-22,Heavy
2004-12-21,Heavy
2004-12-17,Heavy
2004-12-07,Heavy
2004-11-28,Heavy
2004-11-25,Heavy
2004-11-06,Heavy
2004-10-26,Heavy
2004-10-25,Heavy
2004-10-24,Heavy
2004-10-22,Heavy
2004-10-21,Heavy
2004-10-15,Heavy
2004-10-14,Heavy
2004-10-13,Heavy
2004-10-11,Heavy
2004-10-10,Heavy
2004-10-09,Heavy
2004-10-08,Heavy
2004-10-07,Heavy
2004-10-06,Light+Heavy
2004-10-05,Heavy
2004-10-04,Heavy
2004-10-03,Heavy
2004-10-02,Heavy
2004-10-01,Heavy
2004-09-30,Heavy
2004-09-29,Heavy
2004-09-28,Heavy
2004-09-27,Light
2004-09-25,Heavy
2004-09-20,Heavy
2004-09-19,Heavy
2004-09-13,Heavy
2004-09-10,Heavy
2004-09-09,Heavy
2004-09-07,Heavy
2004-08-29,Light
2004-08-26,Heavy
2004-08-21,Light
2004-08-17,Heavy
2004-08-16,Heavy
2004-08-04,Heavy
2004-08-02,Heavy
2004-07-29,Heavy
2004-07-22,Heavy
2004-07-11,Light
2004-07-08,Heavy
2004-07-06,Heavy
2004-07-04,Heavy
2004-07-03,Heavy
2004-06-30,Heavy
2004-06-16,Light
2004-06-14,Heavy
2004-06-10,Light
2004-06-09,Heavy
2004-06-07,Light
2004-06-06,Light
2004-05-30,Heavy
2004-05-24,Light
2004-05-21,Light
2004-05-20,Light+Heavy
2004-05-19,Light+Heavy
2004-05-18,Light+Heavy
2004-05-17,Heavy
2004-05-14,Light+Heavy
2004-05-13,Heavy
2004-05-12,Light+Heavy
2004-05-11,Light+Heavy
2004-05-09,Light
2004-05-07,Light
2004-05-04,Heavy
2004-05-02,Light
2004-04-26,Light
2004-04-21,Heavy
2004-04-18,Light+Heavy
2004-04-17,Heavy
2004-04-02,Heavy
2004-03-27,Light
2004-03-22,Heavy
2004-03-21,Heavy
2004-03-17,Heavy
2004-03-16,Heavy
2004-03-10,Light
2004-03-08,Heavy
2004-03-04,Heavy
2004-03-03,Heavy
2004-03-01,Heavy
2004-02-28,Heavy
2004-02-26,Light
2004-02-19,Light
2004-02-16,Light
2004-02-13,Light
2004-02-12,Light
2004-02-11,Light
2004-02-09,Light
2004-02-07,Heavy
2004-02-02,Heavy
2004-02-01,Light
2004-01-11,Light
2004-01-08,Light
2003-12-25,Heavy
2003-12-23,Heavy
2003-12-21,Light
2003-12-16,Light
2003-12-15,Light
2003-12-14,Light
2003-12-13,Light
2003-12-09,Light
2003-12-06,Light
2003-12-02,Light
2003-12-01,Heavy
2003-11-22,Light
2003-11-17,Light
2003-11-16,Light
2003-11-15,Light
2003-11-12,Heavy
2003-11-10,Light
2003-11-08,Light
2003-11-07,Light+Heavy
2003-11-06,Light
2003-11-01,Light
2003-10-31,Light
2003-10-28,Light
2003-10-27,Light
2003-10-26,Heavy
2003-10-25,Light
2003-10-24,Light
2003-10-23,Light
2003-10-22,Light+Heavy
2003-10-21,Light
2003-10-20,Heavy
2003-10-18,Light
2003-10-16,Light
2003-10-14,Light
2003-10-12,Light
2003-10-10,Light+Heavy
2003-10-05,Heavy
2003-10-02,Heavy
2003-10-01,Light
2003-09-25,Heavy
2003-09-24,Heavy
2003-09-22,Heavy
2003-09-19,Light
2003-09-18,Heavy
2003-09-16,Heavy
2003-09-10,Heavy
2003-09-09,Light+Heavy
2003-09-08,Light
2003-09-06,Light
2003-09-02,Light
2003-09-01,Heavy
2003-08-30,Heavy
2003-08-28,Heavy
2003-08-26,Heavy
2003-08-24,Heavy
2003-08-22,Light
2003-08-21,Heavy
2003-08-20,Light
2003-08-14,Heavy
2003-08-04,Light
2003-08-03,Light
2003-06-25,Heavy
2003-06-21,Light
2003-06-20,Heavy
2003-06-13,Heavy
2003-06-12,Light+Heavy
2003-06-11,Heavy
2003-06-10,Heavy
2003-05-29,Heavy
2003-05-25,Heavy
2003-05-15,Heavy
2003-05-12,Heavy
2003-05-09,Heavy
2003-05-03,Heavy
2003-04-29,Heavy
2003-04-19,Heavy
2003-04-15,Heavy
2003-04-10,Light+Heavy
2003-04-08,Heavy
2003-04-06,Heavy
2003-04-03,Heavy
2003-03-27,Heavy
2003-03-25,Light
2003-03-17,Light
2003-03-08,Heavy
2003-03-06,Heavy
2003-02-16,Heavy
2003-02-12,Heavy
2003-02-05,Heavy
2003-01-30,Light
2003-01-23,Heavy
2003-01-12,Heavy
2003-01-07,Heavy
2003-01-01,Heavy
2002-12-26,Heavy
2002-12-23,Light
2002-12-12,Heavy
2002-12-08,Light
2002-12-06,Heavy
2002-12-04,Heavy
2002-11-26,Heavy
2002-11-16,Heavy
2002-11-04,Heavy
2002-11-03,Heavy
2002-10-18,Heavy
2002-10-17,Light+Heavy
2002-10-16,Light
2002-10-13,Light+Heavy
2002-10-12,Light
2002-10-11,Light
2002-10-10,Light
2002-10-09,Heavy
2002-10-07,Heavy
2002-10-06,Heavy
2002-10-01,Heavy
2002-09-30,Heavy
2002-09-27,Heavy
2002-09-26,Light+Heavy
2002-09-20,Light+Heavy
2002-09-14,Heavy
2002-09-10,Light
2002-09-01,Light+Heavy
2002-08-31,Heavy
2002-08-28,Heavy
2002-08-21,Heavy
2002-08-19,Light
2002-08-07,Light
2002-08-06,Heavy
2002-07-22,Heavy
2002-06-29,Light
2002-06-24,Heavy
2002-06-21,Heavy
2002-06-20,Heavy
2002-06-13,Light
2002-06-11,Light
2002-05-25,Heavy
2002-05-22,Heavy
2002-05-02,Heavy
2002-04-30,Heavy
2002-04-29,Heavy
2002-04-26,Light
2002-04-22,Heavy
2002-04-17,Heavy
2002-04-15,Light
2002-04-07,Heavy
2002-04-05,Light
2002-04-04,Heavy
2002-04-03,Heavy
2002-03-19,Light
2002-03-14,Heavy
2002-03-12,Heavy
2002-03-11,Light+Heavy
2002-03-10,Heavy
2002-03-09,Heavy
2002-03-08,Heavy
2002-03-07,Heavy
2002-03-05,Heavy
2002-03-04,Heavy
2002-02-28,Heavy
2002-02-20,Heavy
2002-02-16,Heavy
2002-02-13,Heavy
2002-02-04,Heavy
2002-01-25,Heavy
2002-01-19,Light
2002-01-14,Heavy
2001-12-30,Heavy
2001-12-28,Heavy
2001-12-12,Light+Heavy
2001-12-10,Heavy
2001-12-09,Light+Heavy
2001-12-08,Light
2001-12-04,Heavy
2001-12-02,Heavy
2001-11-29,Light
2001-11-28,Light
2001-11-27,Light
2001-11-25,Light
2001-11-23,Light+Heavy
2001-11-22,Heavy
2001-11-19,Light
2001-11-17,Light
2001-11-14,Light
2001-11-09,Light
2001-11-08,Light
2001-11-07,Light
2001-11-02,Light
2001-10-31,Light+Heavy
2001-10-23,Heavy
2001-10-22,Heavy
2001-10-21,Light
2001-10-20,Light
2001-10-19,Heavy
2001-10-18,Heavy
2001-10-16,Heavy
2001-10-15,Heavy
2001-10-14,Light
2001-10-05,Heavy
2001-10-03,Light+Heavy
2001-09-17,Heavy
2001-09-09,Heavy
2001-09-08,Heavy
2001-09-06,Heavy
2001-09-03,Heavy
2001-08-30,Light
2001-08-27,Heavy
2001-08-26,Light
2001-08-22,Light+Heavy
2001-08-19,Light
2001-08-15,Light
2001-08-12,Light
2001-08-10,Light
2001-08-05,Light+Heavy
2001-07-31,Light+Heavy
2001-07-25,Heavy
2001-07-23,Light
2001-07-21,Light
2001-07-17,Heavy
2001-07-13,Heavy
2001-07-12,Heavy
2001-07-11,Light
2001-07-07,Light
2001-07-01,Light+Heavy
2001-06-29,Light
2001-06-25,Heavy
2001-06-09,Heavy
2001-06-08,Light
2001-05-31,Light
2001-05-14,Light
2001-05-12,Heavy
2001-05-06,Heavy
2001-05-05,Light
2001-04-17,Heavy
2001-04-10,Heavy
2001-04-05,Heavy
2001-04-02,Heavy
2001-03-24,Light
2001-03-21,Heavy
2001-03-16,Light
2001-03-14,Light
2001-03-09,Heavy
2001-03-04,Light
2001-03-03,Light
2001-03-02,Light+Heavy
2001-02-26,Light
2001-02-19,Light
2001-02-16,Light
2001-02-15,Light
2001-02-13,Light+Heavy
2001-02-12,Light
2001-02-09,Light
2001-02-04,Light
2001-01-07,Light
2001-01-06,Light
2001-01-02,Light
2000-12-31,Light
2000-12-22,Light
2000-12-20,Light
2000-12-17,Light
2000-12-15,Light
2000-12-14,Light
2000-12-13,Light
2000-12-10,Light
2000-12-08,Light+Heavy
2000-12-01,Light
2000-11-30,Light
2000-11-28,Light
2000-11-25,Light
2000-11-24,Light
2000-11-23,Light+Heavy
2000-11-21,Light
2000-11-20,Light
2000-11-19,Light
2000-11-17,Light
2000-11-16,Light
2000-11-15,Light
2000-11-14,Light
2000-11-13,Light
2000-11-11,Light
2000-11-10,Light
2000-11-09,Light+Heavy
2000-11-08,Light
2000-11-06,Light
2000-11-05,Light
2000-11-03,Light
2000-11-02,Light
2000-11-01,Light
2000-10-31,Light
2000-10-29,Light
2000-10-28,Light
2000-10-27,Light
2000-10-24,Light
2000-10-23,Light
2000-10-22,Light
2000-10-21,Light
2000-10-20,Light
2000-10-16,Light
2000-10-13,Light
2000-10-11,Light
2000-10-10,Light
2000-10-08,Light
2000-10-07,Light
2000-10-06,Light
2000-10-05,Light
2000-10-04,Light
2000-10-03,Light
2000-10-02,Light
2000-10-01,Light
2000-09-30,Light
2000-09-29,Light